,g,max_delta,max_ll_x,max_mu_hat,max_s2_t_hat,n,time,l,M,model,BIC,max_ll_y,D,pval,qval
0,FGGY,0.008976853352016622,326.60001592432315,0.011249750975251863,0.004421819214702964,251,0.0005769729614257812,0.37858288392372463,4,SE,-631.0982200921192,324.7523031277581,1.8477127965650197,0.3505314293579282,1.0
1,HEXB,0.006945112676918644,224.0151996316979,0.028637852964427966,0.010507813840290146,251,0.0005481243133544922,0.37858288392372463,4,SE,-425.92858750686867,221.30147797329204,2.713721658405859,0.14061977316559154,1.0
2,USP33,0.0017617022510786164,188.93030596224253,0.049093866559800456,0.015151442012019022,251,0.0006268024444580078,0.37858288392372463,4,SE,-355.75880016795793,187.4525458114553,1.4777601507872191,0.5019753110626084,1.0
3,FAAP20,0.9437258072727254,121.72537339339985,0.06326208485686453,0.013366424842571771,251,0.0003390312194824219,0.37858288392372463,4,SE,-221.34893503027257,121.04279292349378,0.6825804699060711,0.9344092939649399,1.0
4,TRAPPC5,0.003465518406453985,219.99033849215357,0.03766861918202602,0.01139740292491723,251,0.0008051395416259766,0.37858288392372463,4,SE,-417.87886522778,217.54838891694448,2.441949575209094,0.1888114180381361,1.0
5,TRIM65,0.9191926444792987,367.67902706401344,0.010846336148898472,0.001688213883859965,251,0.0003371238708496094,0.37858288392372463,4,SE,-713.2562423714998,366.9576349532527,0.7213921107607462,0.9149458182571941,1.0
6,GDPD5,0.9372263405328386,373.4694190577347,0.009103567813166537,0.001582771968452197,251,0.0003330707550048828,0.37858288392372463,4,SE,-724.8370263589422,372.795475433872,0.6739436238626695,0.9385697925020884,1.0
7,IFIT2,0.8587542534299233,398.367226016362,0.008313557596903933,0.0013533200036020656,251,0.0003368854522705078,0.37858288392372463,4,SE,-774.6326402761969,397.46466806087466,0.9025579554873389,0.8141379169091197,1.0
8,CDK5RAP3,0.010942147149264872,128.4281023028942,0.06439944196015482,0.024532644018693345,251,0.0005400180816650391,0.37858288392372463,4,SE,-234.75439284926125,126.95410863887531,1.4739936640188773,0.5037416737661049,1.0
9,GPALPP1,0.017753640936846633,272.2567199680114,0.018874619131572245,0.006900812581546912,251,0.0005397796630859375,0.37858288392372463,4,SE,-522.4116281794957,269.2925744861572,2.964145481854189,0.10666254858939485,1.0
10,FBXL15,0.001873112049593139,232.61058183617502,0.028978476198124336,0.009927703190920413,251,0.0006940364837646484,0.37858288392372463,4,SE,-443.1193519158229,230.74990899675112,1.8606728394238985,0.3459988137101275,1.0
11,CPSF3L,0.016204634538804122,83.79193781019845,0.07768873722870132,0.03493501148710753,251,0.0005419254302978516,0.37858288392372463,4,SE,-145.48206386386977,82.48167186319705,1.3102659470013975,0.5847958816899719,1.0
12,MIEF2,0.0038754252727725186,243.66586079175022,0.023224589821760133,0.008868091275401268,251,0.0006852149963378906,0.37858288392372463,4,SE,-465.2299098269733,241.62345451568018,2.0424062760700394,0.2875516032458687,1.0
13,SLC41A3,0.009783019259088874,251.9343996279282,0.02181941914621175,0.00822853584692147,251,0.00074005126953125,0.37858288392372463,4,SE,-481.7669874993293,249.8976189764076,2.036780651520587,0.28922260050491577,1.0
14,DDX54,0.009499679879115307,163.65148036116335,0.04434385763108526,0.01752207476206356,251,0.0005328655242919922,0.37858288392372463,4,SE,-305.2011489657996,160.9063865320798,2.745093829083544,0.13586630642330777,1.0
15,PPP6R1,0.011347708052087194,24.976168100002127,0.10037149769222292,0.05646629192846477,251,0.0005311965942382812,0.37858288392372463,4,SE,-27.85052444347712,23.8409962542608,1.1351718457413256,0.6798409705758495,1.0
16,NUDT2,0.011095373840689513,229.48083282909886,0.03377349763138102,0.010333367766910994,251,0.0006670951843261719,0.37858288392372463,4,SE,-436.8598539016706,228.00241968396227,1.4784131451365852,0.5016695373279545,1.0
17,NXF1,0.0023331576008746974,170.3815619282841,0.045413502795363034,0.016902350898815182,251,0.000640869140625,0.37858288392372463,4,SE,-318.6613121000411,168.59754485521358,1.7840170730705154,0.3735439775265343,1.0
18,NLE1,0.013982647583584666,341.34078274574625,0.008146525033082233,0.0038716004350552624,251,0.0005359649658203125,0.37858288392372463,4,SE,-660.5797537349654,339.43807708454716,1.902705661199093,0.3316404107746971,1.0
19,MKLN1,0.01195152367866737,172.3291919615064,0.04810055122385619,0.016735277989423716,251,0.0005366802215576172,0.37858288392372463,4,SE,-322.5565721664857,170.54043544080974,1.7887565206966656,0.3717891310639186,1.0
20,PFKL,0.008063991073662761,71.48329056599107,0.09865047796595232,0.04157006357303182,251,0.0005381107330322266,0.37858288392372463,4,SE,-120.86476937545501,70.11789680699621,1.3653937589948555,0.5565906377117318,1.0
21,HECTD4,0.011215421408205313,215.00907485039858,0.0333335930375809,0.011445527994938141,251,0.0005359649658203125,0.37858288392372463,4,SE,-407.91633794427,213.58247977133664,1.42659507906194,0.5263546146668237,1.0
22,ITGB8,0.8637659818919219,348.2046087621315,0.011481902386843523,0.0020273876068725876,251,0.00033020973205566406,0.37858288392372463,4,SE,-674.3074057677359,347.3321366186755,0.8724721434559797,0.83152428754223,1.0
23,CBL,0.8919490053938129,367.72919482997247,0.010853618915121144,0.0017119226084335625,251,0.00032782554626464844,0.37858288392372463,4,SE,-713.3565779034178,366.9576349532527,0.7715598767197775,0.8882986730025397,1.0
24,MNDA,0.010625100401313618,349.30698629878947,0.011239398249521717,0.003702279100287598,251,0.0005440711975097656,0.37858288392372463,4,SE,-676.5121608410518,347.3321366186755,1.9748496801139481,0.30818920420720125,1.0
25,ZNF697,0.016672211500477947,348.9664609054632,0.01129526594760966,0.003691035348170643,251,0.0005331039428710938,0.37858288392372463,4,SE,-675.8311100543992,347.3321366186754,1.6343242867877734,0.4325792599551125,1.0
26,PPP1R37,1.0175481928834464,222.8249767971801,0.027268382748062515,0.005266742698509338,251,0.00035309791564941406,0.37858288392372463,4,SE,-423.5481418378331,222.317629577765,0.5073472194151236,0.9977351211560296,1.0
27,RCAN1,0.0029285878757157064,245.11530349915682,0.025309904696007874,0.008870250110064176,251,0.0006170272827148438,0.37858288392372463,4,SE,-468.1287952417865,243.32642285195374,1.7888806472030865,0.3717432641329709,1.0
28,MMP3,0.01563208158884151,228.5257183617366,0.022248936222213234,0.009789418975894677,251,0.0005407333374023438,0.37858288392372463,4,SE,-434.9496249669461,226.14748404100322,2.378234320733384,0.20213265323429316,1.0
29,SCGB1D2,0.8993453750533641,346.45231253648876,0.009030162368829411,0.0019915807787773123,251,0.00032901763916015625,0.37858288392372463,4,SE,-670.8028133164504,345.6511734726842,0.8011390638045555,0.8720011390463391,1.0
30,SMYD5,0.9614641160951727,236.24694084763132,0.021845706312381336,0.004775773740740277,251,0.0003428459167480469,0.37858288392372463,4,SE,-450.3920699387355,235.62769722019203,0.619243627439289,0.9630948162419308,1.0
31,OTUD5,0.006771418590826041,170.43619218647262,0.04543921966251413,0.016823927124157395,251,0.0005350112915039062,0.37858288392372463,4,SE,-318.7705726164181,168.67932446257174,1.756867723900882,0.38372978802411456,1.0
32,ANAPC2,0.001008918459036061,275.9514359552676,0.022288878784620377,0.006947366329672222,251,0.0006461143493652344,0.37858288392372463,4,SE,-529.801060154008,274.44029675119106,1.5111392040765281,0.48651965376983175,1.0
33,THBD,0.006403818224987618,271.93869693712116,0.016229383384358514,0.006913007871322705,251,0.0005309581756591797,0.37858288392372463,4,SE,-521.7755821177152,268.9139047778572,3.0247921592639386,0.0996958564015105,1.0
34,VPS18,0.9046184339433969,251.98327957443746,0.024731521159334455,0.0044326874840693396,251,0.0003437995910644531,0.37858288392372463,4,SE,-481.8647473923478,251.20946648983346,0.7738130846040008,0.8870704557416227,1.0
35,SLC39A8,0.010534791805173815,268.58577304872335,0.020974604422397625,0.007221107612799547,251,0.0005371570587158203,0.37858288392372463,4,SE,-515.0697343409196,266.7609995443036,1.8247735044197384,0.3586775198014252,1.0
36,MZB1,0.8815077582421798,162.09788513124005,0.04365332511335237,0.009510099937140465,251,0.00033283233642578125,0.37858288392372463,4,SE,-302.09395850595297,161.25095163700638,0.8469334942336673,0.8461636608191995,1.0
37,GATA6,0.010629563810084697,332.74421739994864,0.01171602037609529,0.004218483445489558,251,0.0005278587341308594,0.37858288392372463,4,SE,-643.3866230433702,330.50828017238285,2.2359372275657847,0.23504242675112652,1.0
38,SERTAD4,0.8076215281245042,289.31866121815597,0.015403890157713896,0.0033556121752694934,251,0.0003330707550048828,0.37858288392372463,4,SE,-556.5355106797848,288.3001117360738,1.0185494820821646,0.7466528174607643,1.0
39,KCTD1,0.0036325213706311075,154.25162104581568,0.04553455833906795,0.018953674860439272,251,0.0006289482116699219,0.37858288392372463,4,SE,-286.40143033510424,152.36165513140554,1.8899659144101406,0.33593745756394583,1.0
40,MIS12,0.007272670226249511,366.8449099001059,0.00819272433234503,0.003192223664305459,251,0.0005490779876708984,0.37858288392372463,4,SE,-711.5880080436847,365.1271558303825,1.7177540697234122,0.3988070108916918,1.0
41,CYTH4,0.008599476720059607,241.4584866793847,0.02169729941267142,0.008913901699169448,251,0.0005450248718261719,0.37858288392372463,4,SE,-460.81516160224226,239.9162123482077,1.5422743311769977,0.4724251291068604,1.0
