,g,max_delta,max_ll_x,max_mu_hat,max_s2_t_hat,n,time,l,M,model,BIC,max_ll_y,D,pval,qval
0,Ndufaf6,0.012673714409847742,86.1390325810016,0.1057202951311093,0.03945552150175849,262,0.0005221366882324219,0.40200124377918117,4,SE,-150.00468714695882,84.2979222264006,1.8411103546009997,0.3465858208954214,1.0
1,Pi4kb,0.018019869666413467,125.82287133169399,0.06818016000203105,0.025988746713678824,262,0.0009000301361083984,0.40200124377918117,4,SE,-229.3723646483436,123.34652102389322,2.4763503078007716,0.1802947733398576,1.0
2,Ptbp3,0.01729609089149918,-37.09859644747915,0.3264524750238985,0.1656301715168874,262,0.0005030632019042969,0.40200124377918117,4,SE,96.47057091000269,-39.08189463701797,1.9832981895388144,0.30054927348048055,1.0
3,Vcpip1,0.007134998262985615,-21.262780390448228,0.3650927881919657,0.180819302241158,262,0.0007612705230712891,0.40200124377918117,4,SE,64.79893879594084,-22.968036273129826,1.7052558826815982,0.39611991371879274,1.0
4,Brd4,0.01666964162324351,-22.51219915582918,0.5804486137122084,0.3498311789389446,262,0.0005700588226318359,0.40200124377918117,4,SE,67.29777632670275,-24.446089717901657,1.9338905620724773,0.3158993976336993,1.0
5,Psmb10,0.004006254665906772,10.284073555220857,0.23219999753892945,0.09964255715938108,262,0.0008549690246582031,0.40200124377918117,4,SE,1.7052309046026721,8.678747478717867,1.6053260765029904,0.436213263484183,1.0
6,Rin2,0.00604862801681423,-12.76180727006033,0.2437179085473355,0.11446669492593468,262,0.0007760524749755859,0.40200124377918117,4,SE,47.79699255516505,-14.13460165875955,1.3727943886992193,0.5419434093514377,1.0
7,Bpgm,0.05036556334516178,-41.87721024887132,0.388638575297981,0.19965142240645933,262,0.0005030632019042969,0.40200124377918117,4,SE,106.02779851278703,-43.11670311196821,1.239492863096885,0.6102637897509109,1.0
8,Fam5c,0.01797011507928302,-17.766864274539202,0.3060383102577944,0.14424350109645326,262,0.0005049705505371094,0.40200124377918117,4,SE,57.80710656412279,-19.070344884428778,1.3034806098895757,0.5767985057251045,1.0
9,Slc35a5,0.0014735561526906622,-7.847290736038261,0.2892524740279891,0.13308305786510893,262,0.0008020401000976562,0.40200124377918117,4,SE,37.96795948712091,-9.712849727304217,1.8655589912659565,0.33825868549240923,1.0
10,Fam107b,0.003443249697419626,48.778942556748945,0.14591096281277166,0.05836598555296107,262,0.000598907470703125,0.40200124377918117,4,SE,-75.2845070984535,46.81150525359391,1.9674373031550374,0.3054037422265843,1.0
11,Scrg1,0.009981594788580716,-2.0414064925650734,0.3076477156184497,0.13857895702472087,262,0.0009763240814208984,0.40200124377918117,4,SE,26.356191000174533,-3.17947172692368,1.1380652343586064,0.6656341255314041,1.0
12,Iqcb1,1.0317709970419344,19.256900390317554,0.17926268624407568,0.03941827668699314,262,0.0003101825714111328,0.40200124377918117,4,SE,-16.240422765590722,18.677045913097857,0.5798544772196976,0.9737235823439803,1.0
13,Klhl12,0.013627100731096091,-24.395334064242846,0.2662165983494977,0.12920099706095237,262,0.0004990100860595703,0.40200124377918117,4,SE,71.06404614353008,-26.288703108290576,1.8933690440477307,0.3289977729593974,1.0
14,Ifit3,0.022521191612494156,70.19252101526541,0.12009631296521876,0.04564012516985091,262,0.0005059242248535156,0.40200124377918117,4,SE,-118.11166401548644,67.96448527003201,2.2280357452333988,0.23388990668744006,1.0
15,Npy1r,0.03722471716225718,15.207864952140255,0.16173308212257487,0.07194599232985897,262,0.0006899833679199219,0.40200124377918117,4,SE,-8.142351889236124,14.000702220542507,1.207162731597748,0.6276181382005553,1.0
16,Zbtb41,0.012336543641607592,-21.69176739836719,0.3435428964690453,0.1674097071669418,262,0.00049591064453125,0.40200124377918117,4,SE,65.65691281177877,-23.995136847853928,2.3033694494867376,0.216255079326579,1.0
17,Epha1,0.8814143104314768,362.0976951523613,0.010492867963358694,0.0020176090143992093,262,0.00032401084899902344,0.40200124377918117,4,SE,-701.9220122896783,361.19123542071384,0.9064597316474874,0.7995826225794931,1.0
18,Slc7a5,0.01621269659458901,42.52742850989634,0.18384227476545992,0.07005188609868304,262,0.0005040168762207031,0.40200124377918117,4,SE,-62.78147900474829,40.7871800462035,1.7402484636928364,0.3828224798705967,1.0
19,Ehd1,0.013620054842351336,-10.628070131545584,0.2621756911269121,0.12044082646091499,262,0.0007879734039306641,0.40200124377918117,4,SE,43.529518278135555,-11.809980715534437,1.1819105839888522,0.6413701688004214,1.0
20,Hmcn1,0.01454959652243984,228.70457995356355,0.029912556003934766,0.010865961420724438,262,0.0005030632019042969,0.40200124377918117,4,SE,-435.1357818920827,226.23853270986422,2.466047243699336,0.18227080560293754,1.0
21,Pacsin3,0.9819667636908884,-21.244621425396986,0.3466082257964302,0.0902848974940597,262,0.00032806396484375,0.40200124377918117,4,SE,64.76262086583836,-21.90953550796047,0.6649140825634845,0.9351246965319227,1.0
22,Ercc8,0.05355812586553281,83.35035492095463,0.11223043932139921,0.03973758020726749,262,0.0005080699920654297,0.40200124377918117,4,SE,-144.42733182686487,81.9403923361237,1.4099625848309358,0.5238734997745031,1.0
23,Fat1,0.0026849981732648197,-10.335366993958331,0.7306043814801244,0.5141398342023102,262,0.0008230209350585938,0.40200124377918117,4,SE,42.94411200296105,-11.881865498938623,1.546498504980292,0.4613095921673779,1.0
24,Tmppe,0.9042968595186718,113.35723021631304,0.08212353060669558,0.01619051005626554,262,0.00031304359436035156,0.40200124377918117,4,SE,-204.4410824175817,112.51165387512299,0.8455763411900534,0.8352751648694994,1.0
25,Mrp63,0.004741960492447694,-13.812327291063156,0.38134638138847626,0.1876281672718178,262,0.0007770061492919922,0.40200124377918117,4,SE,49.8980325971707,-15.638679865936638,1.8263525748734821,0.3516973059963805,1.0
26,2810468N07Rik,0.0008284216326035321,9.78483516541354,0.20663020231249318,0.09065808593265416,262,0.0008792877197265625,0.40200124377918117,4,SE,2.7037076842173065,7.340147791212871,2.4446873742006687,0.18643175620102678,1.0
27,Cc2d2a,0.9614848234850077,59.46486579633864,0.16185394383834767,0.031199980504088558,262,0.000308990478515625,0.40200124377918117,4,SE,-96.6563535776329,58.721465889972706,0.7433999063659371,0.8935711821264062,1.0
28,Rpp14,0.1672812015222859,24.32765213613135,0.18054278390558615,0.06596375914414965,262,0.0005199909210205078,0.40200124377918117,4,SE,-26.38192625721831,23.30216419835392,1.0254879377774273,0.7298457607204696,1.0
