,x,y
16.92x9.015,16.92,9.015
16.945x11.075,16.945,11.075
16.97x10.118,16.97,10.118
16.939x12.132,16.939,12.132
16.949x13.055,16.949,13.055
16.942x15.088,16.942,15.088
16.941x17.065,16.941,17.065
16.919x16.055,16.919,16.055
9.862x9.024,9.862,9.024
12.08x9.115,12.08,9.115
10.802x9.131,10.802,9.131
13.979x9.1,13.979,9.1
15.008x9.051,15.008,9.051
15.949x9.027,15.949,9.027
15.944x10.075,15.944,10.075
15.002x11.082,15.002,11.082
15.004x10.067,15.004,10.067
15.968x11.107,15.968,11.107
13.095x11.07,13.095,11.07
13.98x11.112,13.98,11.112
13.044x10.102,13.044,10.102
14.012x10.11,14.012,10.11
14.025x13.091,14.025,13.091
13.03x12.084,13.03,12.084
13.071x13.097,13.071,13.097
14.011x12.095,14.011,12.095
15.941x12.112,15.941,12.112
15.041x12.084,15.041,12.084
15.044x13.062,15.044,13.062
15.919x13.049,15.919,13.049
10.861x10.031,10.861,10.031
12.009x11.134,12.009,11.134
12.053x10.127,12.053,10.127
10.877x11.024,10.877,11.024
9.865x9.925,9.865,9.925
9.904x11.036,9.904,11.036
9.894x13.04,9.894,13.04
9.876x12.033,9.876,12.033
12.025x13.139,12.025,13.139
10.901x13.022,10.901,13.022
10.897x12.014,10.897,12.014
12.054x12.119,12.054,12.119
12.033x15.113,12.033,15.113
10.927x15.025,10.927,15.025
12.156x14.169,12.156,14.169
10.918x14.019,10.918,14.019
9.853x15.049,9.853,15.049
9.846x14.032,9.846,14.032
9.903x17.052,9.903,17.052
9.938x16.03,9.938,16.03
11.996x16.133,11.996,16.133
12.138x17.112,12.138,17.112
10.882x16.005,10.882,16.005
10.922x17.038,10.922,17.038
15.042x15.076,15.042,15.076
15.959x14.072,15.959,14.072
15.052x14.069,15.052,14.069
15.929x15.087,15.929,15.087
13.045x14.103,13.045,14.103
14.016x15.1,14.016,15.1
13.988x14.097,13.988,14.097
12.988x15.112,12.988,15.112
13.02x17.101,13.02,17.101
13.004x16.105,13.004,16.105
14.042x17.098,14.042,17.098
14.068x16.1,14.068,16.1
16.001x16.036,16.001,16.036
15.026x17.076,15.026,17.076
15.987x17.056,15.987,17.056
15.003x16.087,15.003,16.087
15.965x19.084,15.965,19.084
15.979x20.048,15.979,20.048
15.982x18.073,15.982,18.073
15.087x18.088,15.087,18.088
15.043x19.053,15.043,19.053
15.03x20.071,15.03,20.071
13.963x18.117,13.963,18.117
14.018x20.086,14.018,20.086
13.051x18.114,13.051,18.114
13.039x19.141,13.039,19.141
14.024x19.115,14.024,19.115
13.075x20.083,13.075,20.083
10.915x19.122,10.915,19.122
12.074x19.146,12.074,19.146
12.12x18.147,12.12,18.147
10.891x18.054,10.891,18.054
12.083x20.128,12.083,20.128
10.889x20.06,10.889,20.06
9.927x19.137,9.927,19.137
9.922x20.102,9.922,20.102
9.973x18.069,9.973,18.069
16.941x18.066,16.941,18.066
16.982x20.044,16.982,20.044
16.963x19.075,16.963,19.075
7.948x14.067,7.948,14.067
7.934x15.059,7.934,15.059
7.888x17.1,7.888,17.1
7.949x16.058,7.949,16.058
9.039x13.047,9.039,13.047
8.974x15.075,8.974,15.075
9.005x14.101,9.005,14.101
9.024x17.101,9.024,17.101
8.966x16.052,8.966,16.052
8.953x18.123,8.953,18.123
9.016x19.137,9.016,19.137
7.924x19.141,7.924,19.141
7.923x18.071,7.923,18.071
14.041x21.074,14.041,21.074
13.048x21.079,13.048,21.079
16.016x21.036,16.016,21.036
15.011x21.199,15.011,21.199
9.919x21.027,9.919,21.027
12.104x21.106,12.104,21.106
10.91x21.025,10.91,21.025
20.956x13.026,20.956,13.026
21.911x12.021,21.911,12.021
21.985x13.004,21.985,13.004
20.963x12.011,20.963,12.011
24.104x13.074,24.104,13.074
23.089x13.112,23.089,13.112
23.159x12.11,23.159,12.11
18.014x13.011,18.014,13.011
18.003x12.045,18.003,12.045
18.987x12.027,18.987,12.027
18.947x13.037,18.947,13.037
20.049x13.047,20.049,13.047
20.043x12.064,20.043,12.064
20.045x15.084,20.045,15.084
18.999x14.054,18.999,14.054
20.009x14.118,20.009,14.118
18.946x15.079,18.946,15.079
18.029x15.076,18.029,15.076
17.985x14.023,17.985,14.023
18.005x16.074,18.005,16.074
18.006x17.101,18.006,17.101
18.981x16.045,18.981,16.045
20.057x16.054,20.057,16.054
19.014x17.064,19.014,17.064
20.053x17.144,20.053,17.144
23.113x15.098,23.113,15.098
24.051x15.103,24.051,15.103
24.098x14.066,24.098,14.066
23.14x14.129,23.14,14.129
21.905x14.024,21.905,14.024
20.997x14.001,20.997,14.001
20.959x15.073,20.959,15.073
21.95x15.022,21.95,15.022
21.939x16.016,21.939,16.016
21.942x17.038,21.942,17.038
20.917x16.026,20.917,16.026
20.931x17.088,20.931,17.088
23.108x17.15,23.108,17.15
24.073x16.077,24.073,16.077
24.097x17.116,24.097,17.116
23.132x16.099,23.132,16.099
25.069x12.085,25.069,12.085
26.094x13.04,26.094,13.04
25.113x13.092,25.113,13.092
26.038x12.058,26.038,12.058
26.073x15.042,26.073,15.042
26.05x14.068,26.05,14.068
25.032x14.077,25.032,14.077
25.104x15.095,25.104,15.095
26.084x17.051,26.084,17.051
26.069x16.055,26.069,16.055
25.054x16.105,25.054,16.105
25.072x17.081,25.072,17.081
25.086x19.093,25.086,19.093
26.095x20.067,26.095,20.067
